DateTime,AddedIPs,RemovedIPs
1502745721,78,78
1502746922,80,80
1502747522,78,78
1502748121,80,80
1502748721,80,80
1502749321,80,80
1502749922,80,80
1502750522,80,80
1502751121,80,80
1502751721,80,80
1502752322,79,79
1502752921,80,80
1502753521,77,77
1502754121,80,80
1502754722,80,80
1502755322,80,80
1502755923,80,80
1502756522,80,80
1502757122,80,80
1502757722,80,80
1502758923,80,80
1502759522,80,80
1502760121,78,78
1502760721,80,80
1502761321,79,79
1502762521,23,23
1502763122,80,80
1502763722,80,80
1502764921,76,76
1502765521,80,80
1502766122,80,80
1502766721,80,80
1502767322,80,80
1502768522,80,80
1502769121,80,80
